infinitive;past;participle;spanish
Be (am, are, is);Was/Were;Been;Ser,Estar
Can;Could;;Poder
Do (Does);Did;Done;Hacer
Have (Has);Had;Had;Haber,Tener
Become;Became;Become;Llegar a ser
Begin;Began;Begun;Empezar
Bite;Bit;Bitten;Morder
Blow;Blew;Blown;Soplar
Break;Broke;Broken;Romper
Bring;Brought;Brought;Traer,Llevar
Build;Built;Built;Construir
Burn;Burnt,Burned;Burnt,Burned;Quemar
Buy;Bought;Bought;Comprar
Catch;Caught;Caught;Coger
Come;Came;Come;Venir
Cost;Cost;Cost;Costar
Cut;Cut;Cut;Cortar
Choose;Chose;Chosen;Elegir
Dig;Dug;Dug;Cavar
Draw;Drew;Drawn;Dibujar
Dream;Dreamt,Dreamed;Dreamt,Dreamed;Soñar
Drink;Drank;Drunk;Beber
Drive;Drove;Driven;Conducir
Eat;Ate;Eaten;Comer
Fall;Fell;Fallen;Caer
Feed;Fed;Fed;Alimentar
Feel;Felt;Felt;Sentir
Fight;Fought;Fought;Luchar
Find;Found;Found;Encontrar
Fly;Flew;Flown;Volar
Forbid;Forbade;Forbidden;Prohibir
Forget;Forgot;Forgotten;Olvidar
Forgive;Forgave;Forgiven;Perdonar
Get;Got;Got;Obtener
Give;Gave;Given;Dar
Go (Goes);Went;Gone;Ir
Grow;Grew;Grown;Crecer
Hang;Hung;Hung;Colgar
Hear;Heard;Heard;Oir
Hide;Hid;Hidden;Ocultar
Hit;Hit;Hit;Golpear
Hold;Held;Held;Agarrar,Sujetar
Hurt;Hurt;Hurt;Herir
Keep;Kept;Kept;Conservar
Know;Knew;Known;Saber,Conocer
Learn;Learnt,Learned;Learnt,Learned;Aprender
Leave;Left;Left;Dejar
Lend;Lent;Lent;Prestar
Let;Let;Let;Permitir
Lie;Lay;Lain;Echarse
Light;Lit;Lit;Encender
Lose;Lost;Lost;Perder
Make;Made;Made;Hacer,crear
Mean;Meant;Meant;Significar
Meet;Met;Met;Encontrar,Reunir,Conocer
Mistake;Mistook;Mistaken;Equivocar
Pay;Paid;Paid;Pagar
Put;Put;Put;Poner
Read;Read;Read;Leer
Ride;Rode;Ridden;Montar
Ring;Rang;Rung;Llamar
Run;Ran;Run;Correr
Say;Said;Said;Decir
See;Saw;Seen;Ver
Sell;Sold;Sold;Vender
Send;Sent;Sent;Enviar
Set;Set;Set;Poner(se)
Shake;Shook;Shaken;Sacudir
Shine;Shone;Shone;Brillar
Shoot;Shot;Shot;Disparar
Show;Showed;Shown;Mostrar
Shut;Shut;Shut;Cerrar
Sing;Sang;Sung;Cantar
Sit;Sat;Sat;Sentarse
Sleep;Slept;Slept;Dormir
Smell;Smelt;Smelt;Oler
Speak;Spoke;Spoken;Hablar
Speed;Sped;Sped;Acelerar
Spell;Spelt;Spelt;Deletrear
Spend;Spent;Spent;Gastar
Stand;Stood;Stood;Estar de pie
Steal;Stole;Stolen;Robar
Stick;Stuck;Stuck;Pegar,Engomar
Swim;Swam;Swum;Nadar
Swing;Swung;Swung;Columpiarse
Take;Took;Taken;Coger
Teach;Taught;Taught;Enseñar
Tell;Told;Told; Decir,Contar
Think;Thought;Thought;Pensar
Throw;Threw;Thrown; Arrojar,Tirar,Lanzar
Understand;Understood;Understood;Entender, Comprender
Wake;Woke;Woken;Despertarse
Wear;Wore;Worn;Llevar puesto
Wet;Wet;Wet;Mojar
Win;Won;Won;Ganar
Write;Wrote;Written;Escribir
